School,Vertical,3Cone,Pos,Ht,Bench,Player,Broad Jump,Wt,College,40yd,Shuttle,Drafted (tm/rnd/yr)
Miami (FL),0.5263157894736842,0.2099236641221374,CB,0.5,0.022222222222222223,Demarcus Van Dyke\VanDDe00,0.7358490566037735,0.0106951871657754,College Stats,0.0,0.125,3rd
Hampton,?,?,DT,0.7857142857142857,0.4888888888888889,Kenrick Ellis\ElliKe01,?,0.9197860962566845,,0.5290697674418606,?,3rd
Arizona,0.42105263157894735,0.31679389312977113,DE,0.7142857142857143,0.4888888888888889,Ricky Elmore\ElmoRi00,0.4528301886792453,0.43315508021390375,College Stats,0.3488372093023254,0.2619047619047622,6th
Idaho,0.10526315789473684,0.2709923664122138,QB,0.7142857142857143,?,Nathan Enderle\EndeNa00,0.37735849056603776,0.35294117647058826,College Stats,0.4883720930232558,0.34523809523809534,5th
Virginia Tech,0.6052631578947368,0.2061068702290077,RB,0.42857142857142855,0.4888888888888889,Darren Evans\EvanDa00,0.5471698113207547,0.28342245989304815,College Stats,0.16279069767441826,0.34523809523809534,0
Auburn,0.39473684210526316,0.2748091603053435,DT,0.7142857142857143,?,Nick Fairley\FairNi00,0.5849056603773585,0.6256684491978609,College Stats,0.325581395348837,0.40476190476190466,1st
Auburn,0.7368421052631579,0.21755725190839711,RB,0.2857142857142857,0.37777777777777777,Mario Fannin\FannMa00,0.6226415094339622,0.3048128342245989,College Stats,0.052325581395348764,0.1964285714285715,0
UCLA,?,?,K,0.35714285714285715,?,Kai Forbath\ForbKa00,?,0.12299465240641712,College Stats,0.29069767441860467,?,0
Washington State,?,?,P,0.42857142857142855,?,Reid Forrest,?,0.08021390374331551,College Stats,0.23837209302325593,?,0
Washington,0.39473684210526316,0.2748091603053435,OLB,0.5,0.4,Mason Foster\FostMa00,0.5283018867924528,0.37967914438502676,College Stats,0.27325581395348825,0.3392857142857145,3rd
Miami (FL),0.2631578947368421,?,OT,0.7857142857142857,0.4888888888888889,Orlando Franklin\FranOr00,?,0.7593582887700535,College Stats,0.48255813953488386,?,2nd
Stanford,0.02631578947368421,0.4274809160305345,DT,0.5,0.5777777777777777,Sione Fua\FuaxSi00,0.3584905660377358,0.7165775401069518,College Stats,0.5813953488372093,0.392857142857143,3rd
Slippery Rock,0.2631578947368421,0.33206106870229024,C,0.7142857142857143,0.4888888888888889,Brandon Fusco\FuscBr00,0.49056603773584906,0.7058823529411765,,0.5232558139534882,0.32738095238095233,6th
Missouri,0.5263157894736842,0.1603053435114504,QB,0.7142857142857143,?,Blaine Gabbert\GabbBl00,0.7169811320754716,0.32085561497326204,College Stats,0.19186046511627913,0.22619047619047616,1st
Michigan State,0.3684210526315789,0.2786259541984735,TE,0.7142857142857143,0.5111111111111111,Charlie Gantt,0.5660377358490566,0.41711229946524064,College Stats,0.331395348837209,0.30952380952380987,0
Abilene Christian,0.868421052631579,?,WR,0.42857142857142855,0.26666666666666666,Clyde Gates\GateCl00,0.9245283018867925,0.0962566844919786,,0.01744186046511591,?,4th
Florida,?,?,OT,0.8571428571428571,0.5777777777777777,Marcus Gilbert\GilbMa00,?,0.8342245989304813,College Stats,0.6569767441860466,?,2nd
Clemson,0.7894736842105263,0.14885496183206098,CB,0.2857142857142857,0.4888888888888889,Marcus Gilchrist\GilcMa00,0.6981132075471698,0.11229946524064172,College Stats,0.09883720930232555,0.14285714285714302,2nd
Nebraska,0.39473684210526316,?,SS,0.35714285714285715,0.2,DeJon Gomes\GomeDe00,0.5283018867924528,0.18181818181818182,College Stats,0.1279069767441859,?,5th
Louisville,0.39473684210526316,0.29389312977099263,TE,0.6428571428571429,0.3111111111111111,Cameron Graham\GrahCa00,0.4339622641509434,0.37433155080213903,College Stats,0.4186046511627906,0.375,0
Arizona,0.15789473684210525,0.6984732824427483,OT,0.8571428571428571,0.4666666666666667,Adam Grant\GranAd00,0.32075471698113206,0.8074866310160428,,0.7325581395348837,0.6666666666666669,0
Virginia Tech,0.2631578947368421,0.40839694656488573,DT,0.6428571428571429,0.5555555555555556,John Graves\GravJo00,0.6037735849056604,0.5989304812834224,College Stats,0.47093023255813937,0.36309523809523836,0
Nevada,1.0,0.18320610687022923,TE,0.6428571428571429,0.4222222222222222,Virgil Green\GreeVi00,0.9056603773584906,0.40106951871657753,College Stats,0.15116279069767433,0.30952380952380987,7th
Hawaii,0.5526315789473685,0.18702290076335892,RB,0.42857142857142855,0.35555555555555557,Alex Green\GreeAl00,0.6037735849056604,0.2727272727272727,College Stats,0.09883720930232555,0.160714285714286,3rd
Georgia,0.5789473684210527,0.18702290076335892,WR,0.7142857142857143,0.3111111111111111,A.J. Green\GreeA.00,0.8301886792452831,0.19786096256684493,College Stats,0.11627906976744198,0.1964285714285715,1st
South Carolina,0.5263157894736842,0.2404580152671756,WR,0.7142857142857143,0.24444444444444444,Tori Gurley\GurlTo00,0.6792452830188679,0.22459893048128343,College Stats,0.14534883720930233,0.22023809523809534,0
Arizona State,0.2894736842105263,0.450381679389313,DT,0.7142857142857143,0.5333333333333333,Lawrence Guy\GuyxLa00,?,0.7005347593582888,College Stats,0.3953488372093022,0.32738095238095233,7th
Nebraska,0.5789473684210527,0.11832061068702313,FS,0.5,0.3111111111111111,Eric Hagg\HaggEr00,0.7358490566037735,0.18716577540106952,College Stats,0.1976744186046511,0.18452380952380984,7th
Clemson,0.2894736842105263,0.5648854961832065,OT,0.8571428571428571,0.6444444444444445,Chris Hairston\HairCh00,0.2641509433962264,0.8128342245989305,College Stats,0.6395348837209301,0.48809523809523836,4th
Fresno State,0.4473684210526316,0.28244274809160325,WR,0.5,0.0,Jamel Hamler\HamlJa00,0.5660377358490566,0.10160427807486631,College Stats,0.18023255813953468,0.1785714285714285,0
Miami (FL),0.6578947368421053,0.19847328244274834,WR,0.5,0.2222222222222222,Leonard Hankerson\HankLe00,0.660377358490566,0.18716577540106952,College Stats,0.06976744186046518,0.1964285714285715,3rd
Idaho,?,?,TE,0.7142857142857143,0.3111111111111111,Daniel Hardy\HardDa00,?,0.40106951871657753,College Stats,0.29069767441860467,?,7th
Clemson,0.6842105263157895,0.28244274809160325,RB,0.35714285714285715,0.4444444444444444,Jamie Harper\HarpJa01,0.7169811320754716,0.3155080213903743,College Stats,0.14534883720930233,0.3035714285714285,4th
East Carolina,0.5526315789473685,0.1335877862595419,WR,0.2857142857142857,0.13333333333333333,Dwayne Harris\HarrDw00,0.5471698113207547,0.15508021390374332,College Stats,0.14534883720930233,0.1964285714285715,6th
Miami (FL),0.631578947368421,0.1335877862595419,CB,0.21428571428571427,0.2,Brandon Harris\HarrBr00,0.5849056603773585,0.09090909090909091,College Stats,0.10465116279069753,0.14285714285714302,2nd
Southern California,?,?,FB,0.42857142857142855,?,Stanley Havili\HaviSt00,?,0.28342245989304815,College Stats,0.20930232558139505,?,7th
Nebraska,0.6842105263157895,0.09541984732824431,RB,0.35714285714285715,0.15555555555555556,Roy Helu\HeluRo00,0.6981132075471698,0.24064171122994651,College Stats,0.06976744186046518,0.07738095238095233,4th
Nebraska,?,?,K,0.5,?,Alex Henery\HeneAl00,?,0.016042780748663103,College Stats,0.34302325581395343,?,4th
Nebraska,0.02631578947368421,0.5954198473282446,OG,0.6428571428571429,0.35555555555555557,Ricky Henry\HenrRi00,0.1509433962264151,0.7165775401069518,College Stats,0.8139534883720928,0.47619047619047616,0
Florida,?,?,P,0.6428571428571429,?,Chas Henry\HenrCh02,?,0.24064171122994651,College Stats,0.331395348837209,?,0
Boston College,0.47368421052631576,0.34351145038167963,OLB,0.7142857142857143,0.5555555555555556,Mark Herzlich\HerzMa00,0.5660377358490566,0.37433155080213903,College Stats,0.36627906976744184,0.34523809523809534,0
Ohio State,0.34210526315789475,?,DE,0.7857142857142857,?,Cameron Heyward\HeywCa01,?,0.6417112299465241,College Stats,0.38953488372093026,?,1st
Florida,0.39473684210526316,?,FS,0.5,?,Will Hill\HillWi01,0.7735849056603774,0.1497326203208556,College Stats,0.20930232558139505,0.18452380952380984,0
Ohio State,0.39473684210526316,0.18320610687022923,SS,0.5,0.3333333333333333,Jermale Hines\HineJe00,?,0.24064171122994651,College Stats,0.18023255813953468,0.1964285714285715,5th
Texas,0.4473684210526316,0.5152671755725191,OT,0.9285714285714286,0.4444444444444444,Kyle Hix\HixxKy00,0.41509433962264153,0.7754010695187166,,0.674418604651163,0.535714285714286,0
West Virginia,?,?,CB,0.2857142857142857,0.3333333333333333,Brandon Hogan\HogaBr00,?,0.0962566844919786,College Stats,0.08720930232558109,?,4th
Syracuse,0.6578947368421053,0.2557251908396947,OLB,0.5714285714285714,0.3111111111111111,Doug Hogue\HoguDo01,0.7358490566037735,0.32620320855614976,College Stats,0.1976744186046511,0.41071428571428603,5th
Hillsdale,0.6052631578947368,0.10305343511450403,WR,0.7142857142857143,0.15555555555555556,Andre Holmes\HolmAn00,0.9056603773584906,0.1925133689839572,,0.13372093023255788,0.2559523809523808,0
Ohio State,0.631578947368421,0.301526717557252,OLB,0.5,0.6222222222222222,Ross Homan\HomaRo00,0.5471698113207547,0.35294117647058826,College Stats,0.2209302325581395,0.27380952380952384,6th
New Mexico State,0.5263157894736842,0.08778625954198492,CB,0.42857142857142855,0.2222222222222222,Davon House\HousDa00,0.5094339622641509,0.13903743315508021,College Stats,0.09302325581395358,0.14285714285714302,4th
Florida Atlantic,0.7105263157894737,0.18320610687022923,TE,0.7857142857142857,0.4,Rob Housler\HousRo01,0.660377358490566,0.39572192513368987,College Stats,0.10465116279069753,0.1964285714285715,3rd
Georgia,0.6842105263157895,0.202290076335878,OLB,0.6428571428571429,0.5777777777777777,Justin Houston\HousJu00,0.8113207547169812,0.5133689839572193,College Stats,0.1976744186046511,0.29166666666666685,3rd
Florida State,0.10526315789473684,0.6145038167938931,C,0.5714285714285714,0.5111111111111111,Rodney Hudson\HudsRo00,0.24528301886792453,0.6684491978609626,College Stats,0.5755813953488369,0.642857142857143,2nd
Southeastern Louisiana,0.3157894736842105,0.7137404580152671,OT,0.7142857142857143,0.4,Kevin Hughes\HughKe00,0.24528301886792453,0.6844919786096256,,0.5988372093023253,0.6488095238095238,0
